[00:00:00 - 00:01:00] | О. Хархордин | Спасибо. Сразу на все три вопроса отвечать?
[00:23:00 - 00:24:00] | И. Фрумин | Спасибо, коллеги. У нас остается не так много времени — 20 минут, поэтому мы переходим к почти блиц-режиму. Но я не могу удержаться, чтобы не сказать, что сама постановка вопроса в университетах-лидерах для нашей системы образования сравнительно нова. То есть мы знали про то, что у нас есть замечательные университеты: у одного — самый высокий шпиль и очень хорошие профессора, я там сам немножко учился, и так далее. У другого — самый длинный коридор, и тоже там очень хорошие профессора. Но мы не обсуждали вопросов реальной конкуренции. Присутствующий здесь министр образования с 2004-го по 2012 год Андрей Александрович Фурсенко очень много сделал для того, чтобы такую конкуренцию между университетами запустить. Она сейчас запущена, и сама наша панель, возможно, происходит благодаря тому, что этот процесс был начат, и я очень признателен Андрею Александровичу, как и многие люди из этой сферы. Но сегодня у системы образования России — новая команда лидеров, поэтому я задам заключительный вопрос, а потом, может быть, будут какие-то комментарии. Разрешим не отвечать на него одному человеку из панели, а именно Дмитрию Викторовичу, а других коллег я спрошу. Очень коротко: один совет Дмитрию Викторовичу Ливанову — относительно того, что он должен сделать, что может сделать Министерство образования, чтобы в России было больше таких университетов, как те российские и зарубежные университеты, которые здесь сегодня представлены. Пожалуйста. Кто хотел бы дать ответ на этот вопрос?
[00:24:00 - 00:25:00] | Я. Кузьминов | Давай я отвечу на этот вопрос. Я скажу вещь, может быть, парадоксальную для традиционных разговоров об образовательной политике. Ключ к тому, чтобы у нас произошло массовое обновление университетов — в том, что нам надо срочно провести реформу аспирантуры и ВАК. В университетах, еще раз говорю, преподают ученые. Пока мы не остановим систему абсолютной профанации науки и воспроизводства науки, которая у нас сложилась, к большому сожалению, за последние 20 лет и против которой мы почему-то ничего не делаем, все остальные средства не дадут результата.
[00:25:00 - 00:26:00] | И. Фрумин | Пожалуйста, Андрей.
[00:26:00 - 00:27:00] | А. Волков | Я хочу сказать то же самое, только с другой стороны. Я считаю, что министерство должно допустить право на смерть университета. Это не значит, что нужно администрировать, закрывать, но надо допустить, что это тоже конечный институт. Он создается у нас почему-то на века. Ведь атомную станцию строят, и потом возникает сложная процедура ее закрытия, ликвидации радиоактивных отходов — цикл на 100 лет. Надо понять, что университеты, как общественные корпорации, должны возникать, достигать успеха и уходить с арены, банкротиться, исчезать. Пока нет такой процедуры.
[00:27:00 - 00:28:00] | И. Фрумин | Эд, хотите что-нибудь сказать?
[00:28:00 - 00:29:00] | Э. Кроули | Думаю, я уже высказал свое предложение, когда сформулировал идею создания международного экспертного совета по университетам.
[00:29:00 - 00:30:00] | И. Пёюхёнен | Я люблю такие простые вопросы и краткие ответы, однако, поскольку всего все равно не сделаешь, надо сосредоточиться на чем-то конкретном, а главная проблема университетов в том и состоит, что мы пытаемся сделать все сразу. Но если мы в состоянии сочетать образование и исследования с тем (это важно и здесь, в России), чтобы задействовать в этот процесс общество и компании, то в этом направлении мы и двигаемся. Есть и другой вариант: в Финляндии имеются университеты, которые пытаются сосредоточиться на исследованиях, пренебрегая обществом и компаниями. Это другой вариант, однако я полагаю, что здесь, в России, важно уметь сочетать все эти области.
[00:30:00 - 00:31:00] | И. Фрумин | Значит, нужна открытость. Хорошо. Пожалуйста, Олег.
[00:31:00 - 00:32:00] | О. Хархордин | Короткое предложение и очень простое: послать, как минимум, 210 человек в программу Harvard Graduate School of Education на образовательный менеджмент. Почему 210? По шесть человек на каждый из восьми федеральных и 27 национальных университетов, чтобы было по шесть управленцев (меньшая команда не работает), которые вернулись и которых можно туда предложить, и они смогут что-то поменять. Но так как все равно 50 из 210 останутся в Штатах, лучше посылать 300.
[00:32:00 - 00:33:00] | И. Фрумин | Пожалуйста.
[00:33:00 - 00:34:00] | В. Васильев | Я, прежде всего, хотел бы сказать спасибо министру образования и науки Андрею Александровичу Фурсенко, который здесь сидит, за то, что он сделал за четвертый и 12-й годы. Я очень рад, что он хоть стал нормально выглядеть: я имею в виду, видно, что это здоровый человек.
[00:34:00 - 00:35:00] | И. Фрумин | Хороший намек Ливанову.
[00:35:00 - 00:36:00] | В. Васильев | Поэтому Дмитрию Викторовичу пожелание достаточно простое: прежде всего, здоровья. Я очень хочу, чтобы у него была сформирована команда — для нас это всегда важно, — которая бы работала в струе и в той парадигме, которую уже и провозгласил министр Ливанов. Спасибо.
[00:36:00 - 00:37:00] | И. Фрумин | Володя, все-таки нет, это совет застольный. А что делать? Вот эта команда соберется...
[00:37:00 - 00:38:00] | Я. Кузьминов | Тебе же сказано: здоровья, иначе точно ничего не получится.
[00:38:00 - 00:39:00] | В. Васильев | Нет, Слава, ты прав, конечно, здоровье здесь надо иметь. Но сейчас будут тяжелейшие вопросы: секвестирование, отрезание, как я понимаю, и некоторая реструктуризация системы высшей школы. Разве для этого здоровья не надо? Со всех же сторон будут идти. Почему я говорю о команде? Потому что ректоры пойдут, пойдут работодатели, пойдут губернаторы и так далее.
[00:39:00 - 00:40:00] | И. Фрумин | Спасибо. Рафаэль?
[00:40:00 - 00:41:00] | Р. Райф | Трудно давать советы человеку, занимающему столь ответственную должность. Так что я скажу только одно: Массачусетский технологический институт не был бы Массачусетским технологическим без других университетов, без тесного взаимодействия с индустрией и если бы не обучал студентов исследовательской деятельности. Спасибо.
[00:41:00 - 00:42:00] | И. Фрумин | Коллеги, у нас есть возможность и высказаться, и задать вопросы. Представляйтесь, пожалуйста. Очень коротко: вопрос или высказывание.
[00:42:00 - 00:43:00] | З. Зайцева | Зоя Зайцева, QS, вопрос и комментарий. Я согласна с комментарием Эдварда по поводу peer review как одного из ключевых, качественных вариантов оценки. Но, одновременно с этим, проводя свою оценку университетов, собирая информацию для рейтингов, мы видим, что уровень ответов из России минимален. Сегодня я уже упоминала: более 33 тысяч экспертов участвовали в опросе только за 2011 год. Более 10% ответов — США, Россия — один point, 1%. Вопрос к панели, либо вопрос к господину Ливанову: кажется ли вам возможным изменить эту активность представителей в зале, чтобы люди не боялись высказывать свое мнение, действительно искренне его высказывать, и не боялись каких-то последствий? Возможно ли эту ситуацию с общественным молчанием переломить в ближайшие четыре— шесть лет? Спасибо.
[00:43:00 - 00:44:00] | И. Фрумин | Это сильный вопрос. Действительно, не только рейтинг QS, но и другие международные рейтинговые, аналитические агентства отмечают, что наша культура peer review как-то не развита, нет активности в этом направлении. Давайте мы соберем несколько вопросов, потом коллеги решат, на какой из них отвечать.
[00:44:00 - 00:45:00] | А. Потемкин | Здравствуйте, уважаемые коллеги. Меня зовут Алексей Потемкин, я член президиума Российского союза студенческих организаций и член студенческого совета МГУ. У меня такой вопрос: уважаемые коллеги, как вы считаете, какой вклад могут внести студенты и студенческие организации в модернизацию университетов, как мы можем вам помочь и в какие процессы мы можем быть включены? Наверное, это вопрос к господину Ливанову и к уважаемым участникам пленарного заседания.
[00:45:00 - 00:46:00] | И. Фрумин | Скорее, это вопрос к ректорам. Скажите, пожалуйста, Вы с какого факультета? Случайно, не с социологического?
[00:46:00 - 00:47:00] | А. Потемкин | Иностранных языков и регионоведения.
[00:47:00 - 00:48:00] | И. Фрумин | Понятно.
[00:48:00 - 00:49:00] | С. Гуриев | Большое спасибо. У меня вопрос про слона в комнате, о котором почему-то никто сегодня не сказал: о коррупции в российских университетах. Как мы будем бороться с коррупцией в российских университетах? Это проблема не только качества образования, а проблема воспитания личности. Люди, которым 18—20 лет, члены студенческих союзов, понимают, что коррупция является нормой, что вëс можно купить, и вырастают в циничных л юдей, которые, наверное, не смогут построить современную конкурентоспособную страну. Ректоры, которые сидят здесь, и есть те ректоры, которые не берут взяток, но опросы свидетельствуют о том, что от 40 до 60% студентов сталкивались с фактами коррупции в своих вузах.
[00:49:00 - 00:50:00] | И. Фрумин | Этот вопрос мы адресуем Владимиру Николаевичу и Ярославу Ивановичу: пусть они скажут, почему они не берут или у них не берут. Пожалуйста, еще вопросы, и дальше мы начнем отвечать. Надеюсь, коллеги запоминают вопросы.
[00:50:00 - 00:51:00] | Б. Нуралиев | Каждый спрашивает о своем, и я, как представитель работодателей, хотел бы попросить, чтобы ректоры оценили: чтобы университет был лидирующим, какую роль играет связь университета с индустрией, с практикующей частью бизнеса?
[00:51:00 - 00:52:00] | И. Фрумин | Борис, если Вы не сформулируете этот вопрос остро, я его сниму, потому что Вам все скажут, что нужно вовлекать бизнес. Вы чего хотите? Вы хотите участвовать в назначении ректоров или что?
[00:52:00 - 00:53:00] | Б. Нуралиев | Я хочу знать, как образование хочет, чтобы бизнес участвовал? Потому что раньше говорили просто: «Дайте денег». Из зала: Ты сформулируй свои условия, а мне от тебя нужны ресурсы. Я готов меняться.
[00:53:00 - 00:54:00] | Б. Нуралиев | Какие нужны ресурсы? Преподавать нужно в вузе? Или деньги нужны? Что нужно? Физтеховская система хорошая, почему она мало где используется?
[00:54:00 - 00:55:00] | И. Фрумин | Борис, отличный вопрос, запишем его. Пожалуйста, последний вопрос.
[00:55:00 - 00:56:00] | Л. Соркин | Леонид Соркин, генеральный директор Honeywell Россия и 12 лет заведующий базовой кафедрой в Физтехе. У меня вопрос к министру образования Дмитрию Викторовичу. Будут ли министерства, Правительство Российской Федерации поддерживать участие мировых высокотехнологических иностранных корпораций в российском образовании? Под поддержкой понимается моральная поддержка, поддержка через средства массовой информации и общественное мнение.
[00:56:00 - 00:57:00] | И. Фрумин | Удивительные вопросы. Я прошу прощения, я не должен, как модератор, так говорить, но неужели Вы думаете, что он скажет, что не поддержит? Если мы не будем ставить вопросы остро, то мы не будем получать на них никаких ответов. Из зала: Я журналист, газета «Поиск». Об университетах-лидерах мы слышали, а что делать с университетами-аутсайдерами? Тут говорилось об ампутации, экзекуции, вплоть до эвтаназии. И что делать с университетами-середняками: считать ли их здоровым ядром, или они тоже подлежат санации?
[00:57:00 - 00:58:00] | И. Фрумин | Спасибо. Теперь — ответы.
[00:58:00 - 00:59:00] | Я. Кузьминов | Мне кажется, Борис задал правильный вопрос про участие бизнеса. Андрей Волков знает: у него есть совет директоров, координационный совет. У меня есть совет директоров, который с нами часто не согласен и который заставляет нас работать на пользу обществу немного по-другому. Когда в государственных вузах будут настоящие, не наблюдательные советы, которые дают советы, а советы директоров, куда будут вовлечены люди из правительства, бизнеса и так далее, тогда и деньги будет собирать легче, потому что будет чувствоваться общность университета. Наверное, это вопрос к министру, но, может быть, и к ректорам тоже. Спасибо.
[00:59:00 - 01:00:00] | А. Волков | Я хотел бы ответить на вопрос про коррупцию. Мне кажется, что это не острый вопрос, это такая черная метка в системе. Ответ очень простой. До тех пор, пока диплом — социальный товар (а это так), который раздается за государственные деньги, до тех пор будет сохраняться коррупция. Дело не только в нравственности и безнравственности. Как только диплом станет негосударственным, перестанет быть социальным товаром, будет диплом конкретного вуза, мы сможем резко уменьшить это коррупционное давление.
[01:00:00 - 01:01:00] | И. Фрумин | Спасибо. Из зала: Я скажу по тому же вопросу и практически продолжу то, что начал Андрей. Ответ очень простой. Внутри системы, даже повысив зарплату преподавателям, мы ничего не решим. Мы не сможем формализовать всю систему до уровня ЕГЭ, там останется субъективный элемент. На мой взгляд, ответ таков: коррупции в образовании придет конец в массовом масштабе, когда мы сумеем создать систему независимых профессиональных экзаменов, которые будут подтверждать вашу квалификацию вне вуза. До этого коррупция останется в той или иной форме.
[01:01:00 - 01:02:00] | И. Фрумин | Спасибо. Эдвард?
[01:02:00 - 01:03:00] | Э. Кроули | Думаю, есть ответ и на некоторые острые вопросы, прозвучавшие из зала. Он заключается в том, что университеты должны быть более открытыми: более открытыми к влияниям индустри―и и через консультативные комитеты, и через участие в совете директоров, а также более открытыми и по отношению к студентам, поскольку студенты в университетах — важный источник информации. Они знают, в какой области обучение идет хорошо, а в какой — не очень, они лучше всех знают, как они учатся. Думаю, нам надо задействовать студентов как важнейший источник информации и как важнейшую заинтересованную сторону в университетском сообществе.
[01:03:00 - 01:04:00] | И. Пёюхёнен | По сути дела, студенты очень важны для нас, поэтому у нас в совете директоров есть представитель студентов. Студенты участвуют в работе практически всех комитетов, потому что у них бывают отличные идеи и они думают о будущем своей страны. Кроме того, нас спрашивали, как оказывать влияние на российские университеты. Для этого, конечно, важно отправлять людей за рубеж и принимать у себя людей из-за рубежа, а также направлять студентов для участия в программах двойных дипломов и двойной магистратуры в другие страны — и наоборот. Так можно очень быстро многого добиться.
[01:04:00 - 01:05:00] | И. Фрумин | Олег, Владимир, Рафаэль, не хотите ли что-нибудь коротко добавить?
[01:05:00 - 01:06:00] | О. Хархордин | Я бы хотел поддержать вопрос Сергея Гуриева и услышать ответ, потому что у нас тоже есть совет попечителей, который де-факто играет роль совета директоров. Хотя мы с ним постоянно дебатируем о том, зачем они нас так противопоставляют обществу, когда мы сами знаем, куда должна идти наука, но все же это то, что делает университет более оперативным.
[01:06:00 - 01:07:00] | И. Фрумин | Рафаэль, у вас тоже есть замечание?
[01:07:00 - 01:08:00] | Р. Райф | Да, я бы хотел особо поддержать реплику о связи университетов с бизнесом. В конце концов, все наши студенты после окончания университета работают на тех или иных предприятиях, и такая связь повысит качество университетской системы.
[01:08:00 - 01:09:00] | В. Васильев | По вопросу от студента МГУ. Считаю, что все студенческие организации должны занимать более активную позицию в учебной, внеучебной и управленческой деятельности университета. Притом ни ради университета, а ради себя самих. Только тогда вы сможете поднять свое интеллектуальную и человеческую капитализацию. А по коррупции уже Ярослав Иванович сказал, и я полностью поддерживаю его: надо понимать, что если мы говорим об университетах-лидерах, то все здесь приплачивают талантливым студентам, а не пытаются у них что-то отобрать. Это совершенно другие условия и совершенно другой подход. Вот эти черные метки на ректоров, что мы будто с утра до вечера собираем, или когда, например, прием идет... Уже, честно говоря, потряхивает. Спасибо.
[01:09:00 - 01:10:00] | И. Фрумин | Дмитрий Викторович, пожалуйста, Вы завершаете дискуссию на нашей панели.
[01:10:00 - 01:11:00] | Д. Ливанов | Спасибо. Я точно не собираюсь сейчас давать исчерпывающих ответов на все те вопросы, которые были поставлены, но выскажу свое отношение по некоторым темам. Во-первых, что касается peer review и системой самооценки профессионального сообщества. Пока у нас в России не будет науки, понимаемой как система научных репутаций, у нас не будет и peer review. Я сделаю тут сильное подтверждение, что у нас много ученых, но у нас нет науки. Когда она появится, тогда мы сможем проводить объективную оценку того, что делают наши университеты. Пока она не появилась, мы будем активно использовать международных экспертов. И другого способа на сегодняшний день и, я думаю, в ближайшие годы, у нас нет. Вопрос коррупции, безусловно, выходит за рамки системы образования. Мы понимаем, что бытовая коррупция разъедает все общество, и система образования не может быть изолирована. Все то, что говорилось и о принципиальной открытости университетов, как организаций, финансируемых налогоплательщиками и несущих ответственность за свою работу перед ними, и о системе профессиональных экзаменов, и о переходе на дипломы самих университетов, а не государственные — я думаю, это актуальные вопросы, которые нужно обсуждать, и нужно двигаться по всем этим направлениям. Действительно важный вопрос — в том, как наши университеты должны управляться. Мне кажется, что наблюдательные советы работают и выполняют свою функцию. На сегодняшний день во всех федеральных университетах и в большей части национально-исследовательских они уже есть — может, не в большей части, но в нескольких точно есть. Нам нужно сделать так, чтобы они реально работали. Где-то они работают лучше, где-то хуже, но, в любом случае, механизмы для внешнего влияния на политику университетов созданы. Еще очень важная деталь — это интересы страны, основных сторон, бизнеса, общественности, тех же студенческих объединений в рабочих университетах. Этот интерес далеко не всегда проявляется. Мы видим, что количество экспертов из России, которые проявили интерес просто отнестись университетам, стремится к нулю. Университеты — часть общества, и в той степени, в какой в России будет формироваться гражданское общество с активной позицией, будут развиваться общественные организации на самом разном уровне — условно говоря, от общества потребителей до студенческого самоуправления, реального, а не прикормленного администрацией университетов — в той степени университеты будут открываться и будут все больше и больше отвечать на запрос, который есть. Спасибо.
[01:11:00 - 01:12:00] | И. Фрумин | Большое спасибо, Дмитрий Викторович. Большое спасибо всем участникам дискуссии, спасибо замечательной аудитории. Спасибо.
